iid1	iid2	max_ibd	sum_ibd_8	n_ibd_8	sum_ibd_12	n_ibd_12	sum_ibd_16	n_ibd_16	sum_ibd_20	n_ibd_20	frac_gp1	frac_gp2
RKF040	RKF046	194.7745	2865.60856416637	50	2835.322263984028	47	2793.286562113109	44	2714.982953814808	40	0.6047065945291513	0.911997275925996
RKC033	RKC042	173.97	2858.67535724284	59	2829.146953960674	56	2761.593855760544	51	2655.6104613761595	45	0.5941381963098886	0.9127161287881654
RKC033	RKC002	146.6990977525711	2817.856706522518	59	2786.9393055009423	56	2705.439913706737	50	2601.535102582222	44	0.5941381963098886	0.9120729446483296
RKF147	RKF237	191.57281	2769.6613405892167	37	2760.7867401892167	36	2748.131839638374	35	2731.971539638374	34	0.8881237940297378	0.8981751226463874
KFJ049	KFJ051	183.38369	2717.6176030926817	33	2708.4836055331343	32	2708.4836055331343	32	2708.4836055331343	32	0.7891238823099138	0.8838611226716103
RKF226	RKF147	177.6313	2691.6896934876177	37	2662.920293405982	34	2637.022590336296	32	2637.022590336296	32	0.8836341165046094	0.8881237940297378
KFJ013	KFJ015	268.8072	2658.2867859531552	30	2658.2867859531552	30	2615.106682176056	27	2595.9693831152345	26	0.907621101484368	0.9219603243665896
RKF031	RKF141	283.6522	2595.388999489319	33	2586.275890377533	32	2558.58608823024	30	2539.455190708268	29	0.8852357711273379	0.8961572900508241
RKF053	RKF124	186.9553	2591.6014953737717	35	2551.544496055458	31	2535.654595132682	30	2535.654595132682	30	0.8665203738034883	0.880720870694765
KFJ050	KFJ049	222.2639	2576.138964362999	34	2576.138964362999	34	2560.784855552574	33	2543.9901561221086	32	0.7974600532203348	0.7891238823099138
RKF029	RKF157	231.0575	2571.547142492112	31	2571.547142492112	31	2571.547142492112	31	2517.6524275696106	28	0.88162889536276845	0.921228860050698
RKF031	RKF157	268.781	2558.506665610169	31	2548.4830657471166	30	2548.4830657471166	30	2548.4830657471166	30	0.8852357711273379	0.921228860050698
RKF031	RKF213	223.2357	2551.977723998833	29	2543.411323998833	28	2543.411323998833	28	2505.738422845268	26	0.8852357711273379	0.8949970363083752
RKF016	RKF142	264.40600603818893	2531.138785168362	33	2520.3008845297813	32	2520.3008845297813	32	2501.2447908370023	31	0.8520802592914886	0.8843655808205012
RKF031	RKF029	227.2950917482376	2504.588417434502	31	2482.12470831852	29	2482.12470831852	29	2464.093701267052	28	0.8852357711273379	0.88162889536276845
RKF226	RKF237	172.3668098449707	2487.7283242443004	41	2467.297127554695	39	2437.8168252208634	37	2365.9361122999344	33	0.8836341165046094	0.8981751226463874
